x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
1.31599,7.39777,7.39777,4.89963,2.25651,2.36024,2.25651,2.25651,2.25651,2.14498
1.33367,7.39777,7.39777,4.94424,2.39033,2.47808,2.39033,2.39033,2.39033,2.27881
1.34694,7.39777,7.39777,4.9777,2.49071,2.56646,2.49071,2.49071,2.49071,2.37918
1.3602,7.39777,7.39777,5.01115,2.56506,2.65484,2.56506,2.56506,2.56506,2.45353
1.36905,7.39777,7.39777,5.03346,2.61462,2.71375,2.61462,2.61462,2.61462,2.5031
1.37789,7.39777,7.39777,5.05576,2.66419,2.76638,2.66419,2.66419,2.66419,2.55266
1.38673,7.39777,7.39777,5.07807,2.71375,2.81901,2.71375,2.71375,2.71375,2.60223
1.40442,7.39777,7.39777,5.12268,2.80297,2.92427,2.80297,2.80297,2.80297,2.69145
1.42211,7.39777,7.39777,5.16729,2.89219,3.02953,2.89219,2.89219,2.89219,2.78067
1.43095,7.39777,7.39777,5.21685,2.9368,3.08216,2.9368,2.9368,2.9368,2.82528
1.44864,7.39777,7.39777,5.31599,3.0855,3.18742,3.0855,3.0855,3.0855,2.97398
1.4619,7.39777,7.39777,5.39033,3.19703,3.26636,3.19703,3.19703,3.19703,3.0855
1.47075,7.39777,7.39777,5.41264,3.27138,3.31899,3.27138,3.27138,3.27138,3.15985
1.49286,7.39777,7.39777,5.4684,3.43866,3.45057,3.43866,3.43866,3.43866,3.32714
1.50612,7.39777,7.39777,5.50186,3.53903,3.52951,3.53903,3.53903,3.53903,3.42751
1.51497,7.39777,7.39777,5.52416,3.60595,3.58214,3.60595,3.60595,3.60595,3.49442
1.53707,7.39777,7.39777,5.57993,3.72986,3.71371,3.72986,3.72986,3.72986,3.61834
1.55034,7.39777,7.39777,5.61338,3.80421,3.79266,3.80421,3.80421,3.80421,3.69269
1.55476,7.39777,7.39777,5.62454,3.829,3.81897,3.829,3.829,3.829,3.71747
1.58129,7.39777,7.39777,5.69145,3.96283,3.97686,3.96283,3.96283,3.96283,3.8513
1.59456,7.39777,7.39777,5.72491,4.02974,4.0558,4.02974,4.02974,4.02974,3.91822
1.59898,7.39777,7.39777,5.74969,4.05204,4.08212,4.05204,4.05204,4.05204,3.94052
1.62551,7.39777,7.39777,5.89839,4.18587,4.24001,4.18587,4.18587,4.18587,4.14126
1.63435,7.42007,7.42007,5.94796,4.23048,4.29264,4.23048,4.23048,4.23048,4.20818
1.6432,7.44238,7.44238,5.97026,4.27509,4.34527,4.27509,4.27509,4.27509,4.27509
1.66973,7.50929,7.50929,6.03717,4.49814,4.50315,4.49814,4.49814,4.49814,4.42379
1.67857,7.50929,7.50929,6.05948,4.57249,4.55578,4.57249,4.57249,4.57249,4.47336
1.68299,7.50929,7.50929,6.07063,4.60967,4.5821,4.60967,4.60967,4.60967,4.49814
1.71395,7.50929,7.50929,6.1487,4.78315,4.7663,4.78315,4.78315,4.78315,4.65428
1.72279,7.50929,7.50929,6.171,4.83271,4.81893,4.83271,4.83271,4.83271,4.69888
1.72721,7.50929,7.50929,6.1834,4.85502,4.84524,4.85502,4.85502,4.85502,4.72119
1.75816,7.50929,7.50929,6.27014,5.01115,5.02945,5.01115,5.01115,5.01115,4.89467
1.76259,7.52045,7.52045,6.28253,5.03346,5.05576,5.03346,5.03346,5.03346,4.91945
1.76701,7.5316,7.5316,6.30483,5.05576,5.08312,5.05576,5.05576,5.05576,4.94424
1.80238,7.62082,7.62082,6.48327,5.25403,5.30196,5.25403,5.25403,5.25403,5.1425
1.8068,7.62082,7.62082,6.50558,5.27881,5.32931,5.27881,5.27881,5.27881,5.16729
1.8466,7.62082,7.62082,6.60595,5.47955,5.57551,5.47955,5.47955,5.47955,5.36803
1.85102,7.63197,7.63197,6.6171,5.50186,5.60286,5.50186,5.50186,5.50186,5.39033
1.89082,7.73234,7.73234,6.84015,5.72491,5.84906,5.72491,5.72491,5.72491,5.61338
