  # 
  # ./GranFilm 2.0
  # ---------------------------------------------------------------------------- 
  # 
  # Angles of incidence   :    45.0000000       0.00000000    
  # Polarisation          :     p 
  # Energy min, max  (eV) :    8.47826898E-02  0.482445836    
  # No of Energy Points   :         1024
  # Materials             :  No.           1 :  air
  # Materials             :  No.           2 :  vo2_380K
  # Materials             :  No.           3 :  vo2_380K
  # Materials             :  No.           4 :  vo2_380K
  # Island radius (nm)        :    8.0000000000000000     
  # Radius ratios             :    1.0000000000000000     
  # Truncation Parameter      :   0.10000000000000001     
  # Coverage                  :   0.50265482457436694     
  # Network                   : Square
  # Lattice constant (nm)     :    20.000000000000000     
  # Multipole position ratio  :   -0.0000000000000000     
  # # multipoles         :           16
  # Density                   :    2.5000000000000001E-003
  # 
  # -------------------------------------------------------------
  # FORMAT :    column 01      -  energy [eV]
  #                "   02:03   -  dR/R (amplitude, phase(deg))
  #                "   04:05   -  alpha_par (real, imag)
  #                "   06:07   -  alpha_perp 
  #                "   08:09   -  alpha^{(10)}_par 
  #                "   10:11   -  alpha^{(10)}_perp 
  #                "   12:13   -  gamma 
  #                "   14:15   -  beta 
  #                "   16:17   -  delta 
  #                "   18:19   -  tau 
  #                "   20      -  wavelength [nm]
  # -------------------------------------------------------------
  0.89447E-01    0.26948E-04  0.13289E+00   -0.57665E+01  0.15965E+03    0.77941E+01  0.18167E+00   -0.35013E+01  0.15916E+02   -0.25310E+01 -0.30101E-01   -0.23580E+01  0.25359E+02    0.72867E+00  0.99205E-02   -0.16293E+00  0.25369E+01   -0.23580E+00  0.25359E+01    0.13861E+05
  0.89836E-01    0.24597E-04  0.13345E+00   -0.54039E+01  0.15810E+03    0.77938E+01  0.18347E+00   -0.34650E+01  0.15760E+02   -0.25311E+01 -0.30692E-01   -0.22742E+01  0.25120E+02    0.72866E+00  0.10019E-01   -0.15455E+00  0.25130E+01   -0.22742E+00  0.25120E+01    0.13801E+05
  0.90225E-01    0.21967E-04  0.13401E+00   -0.50144E+01  0.15639E+03    0.77935E+01  0.18549E+00   -0.34259E+01  0.15589E+02   -0.25312E+01 -0.31352E-01   -0.21838E+01  0.24857E+02    0.72865E+00  0.10130E-01   -0.14551E+00  0.24867E+01   -0.21838E+00  0.24857E+01    0.13742E+05
  0.90614E-01    0.19222E-04  0.13458E+00   -0.50495E+01  0.15482E+03    0.77936E+01  0.18737E+00   -0.34295E+01  0.15431E+02   -0.25315E+01 -0.31913E-01   -0.21605E+01  0.24608E+02    0.72866E+00  0.10232E-01   -0.14318E+00  0.24618E+01   -0.21605E+00  0.24608E+01    0.13683E+05
  0.91002E-01    0.16717E-04  0.13516E+00   -0.50013E+01  0.15337E+03    0.77937E+01  0.18913E+00   -0.34247E+01  0.15286E+02   -0.25317E+01 -0.32452E-01   -0.21271E+01  0.24380E+02    0.72866E+00  0.10328E-01   -0.13985E+00  0.24390E+01   -0.21271E+00  0.24380E+01    0.13624E+05
  0.91391E-01    0.14548E-04  0.13573E+00   -0.49107E+01  0.15212E+03    0.77937E+01  0.19068E+00   -0.34156E+01  0.15160E+02   -0.25319E+01 -0.32936E-01   -0.20911E+01  0.24184E+02    0.72866E+00  0.10413E-01   -0.13624E+00  0.24195E+01   -0.20911E+00  0.24184E+01    0.13566E+05
  0.91780E-01    0.12527E-04  0.13630E+00   -0.47964E+01  0.15096E+03    0.77936E+01  0.19215E+00   -0.34042E+01  0.15044E+02   -0.25320E+01 -0.33397E-01   -0.20532E+01  0.24003E+02    0.72866E+00  0.10493E-01   -0.13246E+00  0.24014E+01   -0.20532E+00  0.24003E+01    0.13509E+05
  0.92168E-01    0.10992E-04  0.13686E+00   -0.46213E+01  0.15007E+03    0.77935E+01  0.19330E+00   -0.33867E+01  0.14954E+02   -0.25321E+01 -0.33774E-01   -0.20109E+01  0.23864E+02    0.72865E+00  0.10557E-01   -0.12822E+00  0.23875E+01   -0.20109E+00  0.23864E+01    0.13452E+05
  0.92557E-01    0.95198E-05  0.13743E+00   -0.45141E+01  0.14924E+03    0.77934E+01  0.19438E+00   -0.33759E+01  0.14871E+02   -0.25322E+01 -0.34116E-01   -0.19801E+01  0.23735E+02    0.72865E+00  0.10615E-01   -0.12515E+00  0.23746E+01   -0.19801E+00  0.23735E+01    0.13395E+05
  0.92946E-01    0.83305E-05  0.13800E+00   -0.43013E+01  0.14854E+03    0.77932E+01  0.19531E+00   -0.33546E+01  0.14801E+02   -0.25322E+01 -0.34431E-01   -0.19356E+01  0.23628E+02    0.72864E+00  0.10666E-01   -0.12069E+00  0.23638E+01   -0.19356E+00  0.23628E+01    0.13339E+05
