  # 
  # ./GranFilm 2.0
  # ---------------------------------------------------------------------------- 
  # 
  # Angles of incidence   :    45.0000000       0.00000000    
  # Polarisation          :     p 
  # Energy min, max  (eV) :    4.18836102E-02  0.574756145    
  # No of Energy Points   :         1024
  # Materials             :  No.           1 :  air
  # Materials             :  No.           2 :  vo2_100C
  # Materials             :  No.           3 :  vo2_100C
  # Materials             :  No.           4 :  vo2_100C
  # Island radius (nm)        :    8.0000000000000000     
  # Radius ratios             :    1.0000000000000000     
  # Truncation Parameter      :   0.10000000000000001     
  # Coverage                  :   0.50265482457436694     
  # Network                   : Square
  # Lattice constant (nm)     :    20.000000000000000     
  # Multipole position ratio  :   -0.0000000000000000     
  # # multipoles         :           16
  # Density                   :    2.5000000000000001E-003
  # 
  # -------------------------------------------------------------
  # FORMAT :    column 01      -  energy [eV]
  #                "   02:03   -  dR/R (amplitude, phase(deg))
  #                "   04:05   -  alpha_par (real, imag)
  #                "   06:07   -  alpha_perp 
  #                "   08:09   -  alpha^{(10)}_par 
  #                "   10:11   -  alpha^{(10)}_perp 
  #                "   12:13   -  gamma 
  #                "   14:15   -  beta 
  #                "   16:17   -  delta 
  #                "   18:19   -  tau 
  #                "   20      -  wavelength [nm]
  # -------------------------------------------------------------
  0.48134E-01    0.40933E-04  0.71540E-01    0.18631E+01  0.18092E+03    0.77859E+01  0.16058E+00   -0.27360E+01  0.18048E+02   -0.25258E+01 -0.24900E-01   -0.16229E+01  0.28859E+02    0.72828E+00  0.87785E-02   -0.89457E-01  0.28868E+01   -0.16229E+00  0.28859E+01    0.25758E+05
  0.48655E-01    0.39123E-04  0.72312E-01    0.16775E+01  0.17839E+03    0.77860E+01  0.16285E+00   -0.27546E+01  0.17795E+02   -0.25261E+01 -0.25533E-01   -0.15978E+01  0.28456E+02    0.72829E+00  0.89024E-02   -0.86951E-01  0.28465E+01   -0.15978E+00  0.28456E+01    0.25482E+05
  0.49176E-01    0.37585E-04  0.73088E-01    0.13449E+01  0.17633E+03    0.77863E+01  0.16475E+00   -0.27880E+01  0.17588E+02   -0.25265E+01 -0.26043E-01   -0.16055E+01  0.28123E+02    0.72830E+00  0.90060E-02   -0.87721E-01  0.28132E+01   -0.16055E+00  0.28123E+01    0.25212E+05
  0.49697E-01    0.36003E-04  0.73861E-01    0.11359E+01  0.17423E+03    0.77865E+01  0.16673E+00   -0.28089E+01  0.17378E+02   -0.25268E+01 -0.26596E-01   -0.15941E+01  0.27787E+02    0.72831E+00  0.91142E-02   -0.86579E-01  0.27796E+01   -0.15941E+00  0.27787E+01    0.24948E+05
  0.50218E-01    0.34171E-04  0.74633E-01    0.99437E+00  0.17188E+03    0.77866E+01  0.16900E+00   -0.28231E+01  0.17142E+02   -0.25271E+01 -0.27244E-01   -0.15680E+01  0.27413E+02    0.72832E+00  0.92382E-02   -0.83966E-01  0.27422E+01   -0.15680E+00  0.27413E+01    0.24689E+05
  0.50739E-01    0.32300E-04  0.75405E-01    0.83621E+00  0.16958E+03    0.77867E+01  0.17130E+00   -0.28390E+01  0.16911E+02   -0.25274E+01 -0.27899E-01   -0.15458E+01  0.27044E+02    0.72833E+00  0.93634E-02   -0.81750E-01  0.27054E+01   -0.15458E+00  0.27044E+01    0.24436E+05
  0.51260E-01    0.30425E-04  0.76177E-01    0.68577E+00  0.16733E+03    0.77868E+01  0.17359E+00   -0.28541E+01  0.16686E+02   -0.25278E+01 -0.28558E-01   -0.15244E+01  0.26687E+02    0.72833E+00  0.94884E-02   -0.79606E-01  0.26696E+01   -0.15244E+00  0.26687E+01    0.24187E+05
  0.51781E-01    0.28567E-04  0.76949E-01    0.55860E+00  0.16517E+03    0.77869E+01  0.17585E+00   -0.28668E+01  0.16469E+02   -0.25281E+01 -0.29217E-01   -0.15015E+01  0.26341E+02    0.72834E+00  0.96122E-02   -0.77319E-01  0.26351E+01   -0.15015E+00  0.26341E+01    0.23944E+05
  0.52301E-01    0.26675E-04  0.77721E-01    0.41804E+00  0.16304E+03    0.77871E+01  0.17814E+00   -0.28809E+01  0.16255E+02   -0.25284E+01 -0.29881E-01   -0.14820E+01  0.26002E+02    0.72835E+00  0.97370E-02   -0.75366E-01  0.26012E+01   -0.14820E+00  0.26002E+01    0.23706E+05
  0.52822E-01    0.24775E-04  0.78493E-01    0.28275E+00  0.16097E+03    0.77872E+01  0.18043E+00   -0.28945E+01  0.16048E+02   -0.25287E+01 -0.30549E-01   -0.14633E+01  0.25672E+02    0.72836E+00  0.98617E-02   -0.73491E-01  0.25682E+01   -0.14633E+00  0.25672E+01    0.23472E+05
  0.53343E-01    0.23088E-04  0.79262E-01    0.30200E+00  0.15911E+03    0.77872E+01  0.18253E+00   -0.28926E+01  0.15861E+02   -0.25290E+01 -0.31186E-01   -0.14253E+01  0.25377E+02    0.72836E+00  0.99769E-02   -0.69697E-01  0.25387E+01   -0.14253E+00  0.25377E+01    0.23243E+05
  0.53864E-01    0.21391E-04  0.80031E-01    0.31954E+00  0.15729E+03    0.77872E+01  0.18464E+00   -0.28908E+01  0.15678E+02   -0.25292E+01 -0.31825E-01   -0.13889E+01  0.25089E+02    0.72836E+00  0.10092E-01   -0.66054E-01  0.25099E+01   -0.13889E+00  0.25089E+01    0.23018E+05
