x,300K,380K
1.17607e-05,2.41233,8.53555
1.18397e-05,2.35225,8.57319
1.18665e-05,2.33184,8.5828
1.19938e-05,2.41271,8.62841
1.20093e-05,2.42305,8.63397
1.20999e-05,2.48346,8.66104
1.21789e-05,2.48672,8.68465
1.23486e-05,2.49372,8.74543
1.23542e-05,2.49395,8.74743
1.25182e-05,2.49422,8.8062
1.2566e-05,2.49429,8.82617
1.26879e-05,2.50737,8.87705
1.27568e-05,2.51477,8.91536
1.28152e-05,2.52042,8.94784
1.29687e-05,2.53528,8.97
1.30271e-05,2.53815,8.97843
1.31806e-05,2.5457,9.00301
1.32179e-05,2.5497,9.00899
1.33713e-05,2.56617,9.04167
1.34086e-05,2.57216,9.04963
1.35571e-05,2.59594,9.11036
1.35621e-05,2.59673,9.11351
1.36844e-05,2.6228,9.19123
1.37528e-05,2.63737,9.24982
1.37906e-05,2.64541,9.28215
1.39179e-05,2.67253,9.36302
1.39436e-05,2.67801,9.3826
1.4024e-05,2.68579,9.44386
1.41514e-05,2.69812,9.52473
1.41555e-05,2.69852,9.52705
1.42787e-05,2.69872,9.59551
1.43674e-05,2.69886,9.63784
1.44271e-05,2.7018,9.66634
1.45756e-05,2.7091,9.72707
1.45793e-05,2.70929,9.7284
1.47452e-05,2.73587,9.78785
1.477e-05,2.73984,9.79673
