x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
0.995791,1.67012,1.67012,4.96698,5.62324,5.50242,5.07245,5.22003,4.96598,4.96894
1.01148,1.77971,1.77971,4.8623,5.50376,5.41595,5.00833,5.11441,4.92034,4.93372
1.01162,1.78069,1.78069,4.86136,5.50269,5.41517,5.00775,5.11347,4.9197,4.93341
1.02488,1.83627,1.83627,4.77288,5.4017,5.34208,4.95355,5.0242,4.85952,4.90365
1.03398,1.87441,1.87441,4.71214,5.33238,5.28251,4.91635,4.96292,4.81821,4.88322
1.03832,1.88351,1.88351,4.68319,5.29934,5.25411,4.89862,4.93371,4.79852,4.87348
1.04502,1.89753,1.89753,4.63853,5.24836,5.2103,4.87126,4.88865,4.76814,4.83245
1.04727,1.90225,1.90225,4.62349,5.2342,5.19555,4.86205,4.87348,4.75791,4.81863
1.05635,1.92127,1.92127,4.56291,5.17715,5.13612,4.82494,4.81774,4.71671,4.76298
1.06068,1.93035,1.93035,4.53401,5.14994,5.10778,4.80724,4.79115,4.69705,4.73643
1.0674,1.94444,1.94444,4.48914,5.10769,5.05436,4.77976,4.74987,4.66653,4.6952
1.07871,1.96813,1.96813,4.41368,5.03663,4.96452,4.71542,4.68044,4.61521,4.62587
1.08976,1.99386,1.99386,4.33995,4.9672,4.87674,4.65256,4.61261,4.56506,4.55814
1.09884,2.015,2.015,4.27937,4.89508,4.80462,4.60091,4.55688,4.52386,4.50248
1.12121,2.06186,2.06186,4.13014,4.71741,4.62695,4.47368,4.41958,4.42236,4.36538
1.12557,2.06186,2.06186,4.10105,4.68277,4.59231,4.44888,4.39281,4.40257,4.33865
1.13005,2.06186,2.06186,4.07112,4.64714,4.56184,4.42336,4.36527,4.38221,4.31115
1.14358,2.06186,2.06186,3.9809,4.53973,4.47,4.34644,4.28227,4.32085,4.24642
1.14571,2.06186,2.06186,3.96665,4.52276,4.45549,4.33429,4.26915,4.31115,4.23619
1.15465,2.06186,2.06186,3.90699,4.45173,4.39476,4.28343,4.21427,4.26272,4.19339
1.16594,2.06186,2.06186,3.83165,4.37291,4.31807,4.2192,4.14495,4.20156,4.13933
1.17704,2.06186,2.06186,3.75763,4.29546,4.24271,4.15609,4.07685,4.14147,4.08622
1.18831,2.06186,2.06186,3.68241,4.21676,4.16613,4.09195,4.03335,4.0804,4.03225
1.19943,2.06186,2.06186,3.60825,4.13917,4.09064,4.02873,3.99046,4.0202,3.97903
1.20835,2.06186,2.06186,3.5603,4.07684,4.02999,3.97794,3.95601,3.97183,3.93629
1.21068,2.06186,2.06186,3.54781,4.06061,4.01917,3.96471,3.94704,3.95924,3.92516
1.22857,2.015,2.015,3.4517,3.93567,3.93587,3.86291,3.87799,3.8623,3.83948
1.2352,2.015,2.015,3.41611,3.88941,3.90503,3.82521,3.85242,3.82641,3.80776
1.24863,2.015,2.015,3.344,3.83426,3.84253,3.74883,3.80061,3.75367,3.74347
1.25094,2.015,2.015,3.33158,3.82476,3.83176,3.73985,3.79168,3.74114,3.73239
1.27331,1.96813,1.96813,3.21144,3.73288,3.72764,3.65308,3.70537,3.61997,3.6253
1.27548,1.96813,1.96813,3.19982,3.724,3.71757,3.64469,3.69702,3.60825,3.61494
1.28666,1.96813,1.96813,3.13975,3.67806,3.6655,3.6013,3.65386,3.56486,3.56139
1.28668,1.96813,1.96813,3.13964,3.67798,3.66541,3.60123,3.65379,3.56478,3.56133
1.29568,1.96813,1.96813,3.10374,3.64102,3.62352,3.56632,3.61906,3.52988,3.53361
1.30903,1.94017,1.94017,3.05048,3.58619,3.56139,3.51453,3.56755,3.47809,3.49248
1.31805,1.92127,1.92127,3.01449,3.54914,3.5284,3.47954,3.53275,3.4431,3.4647
1.34042,1.87441,1.87441,2.92524,3.45727,3.44658,3.39277,3.44643,3.35633,3.39579
1.3493,1.87441,1.87441,2.88982,3.42081,3.41411,3.35834,3.41218,3.3219,3.36844
1.36279,1.87441,1.87441,2.836,3.37209,3.36478,3.30601,3.36012,3.26957,3.32689
1.36943,1.87441,1.87441,2.80947,3.34808,3.34046,3.28022,3.33447,3.24378,3.30641
1.38064,1.87441,1.87441,2.76476,3.30761,3.29948,3.25293,3.29123,3.20031,3.27189
1.38515,1.87441,1.87441,2.75125,3.29131,3.28297,3.24193,3.27382,3.18281,3.25798
1.39628,1.84852,1.84852,2.71796,3.25112,3.24227,3.21483,3.23088,3.13964,3.22371
1.40529,1.82755,1.82755,2.69101,3.2186,3.20934,3.19289,3.19613,3.12168,3.19596
1.41417,1.80894,1.80894,2.66442,3.1865,3.17684,3.17125,3.16185,3.10395,3.16859
1.42766,1.78069,1.78069,2.62407,3.15512,3.12752,3.13841,3.10982,3.07705,3.12705
1.43207,1.78069,1.78069,2.61086,3.14485,3.11138,3.12765,3.09278,3.06824,3.11345
1.43878,1.78069,1.78069,2.59078,3.12923,3.08683,3.11131,3.08639,3.05485,3.09278
1.44997,1.78069,1.78069,2.5573,3.10319,3.04592,3.08406,3.07574,3.03254,3.07628
1.45002,1.78069,1.78069,2.55713,3.10306,3.04589,3.08392,3.07569,3.03242,3.0762
1.46562,1.78069,1.78069,2.51045,3.06675,3.03765,3.04592,3.06083,3.0013,3.05318
1.47239,1.78069,1.78069,2.4902,3.051,3.03408,3.04086,3.05439,2.9878,3.0432
1.47457,1.77613,1.77613,2.48367,3.04592,3.03293,3.03923,3.05231,2.98345,3.03998
1.4746,1.77607,1.77607,2.4836,3.04592,3.03292,3.03921,3.05229,2.9834,3.03995
1.49023,1.74332,1.74332,2.45084,3.04592,3.02466,3.02751,3.0374,2.9522,3.01688
1.4947,1.73396,1.73396,2.44148,3.04592,3.0223,3.02417,3.03314,2.95033,3.01029
1.49476,1.73383,1.73383,2.44136,3.04577,3.02227,3.02412,3.03309,2.95031,3.0102
1.49697,1.73383,1.73383,2.43674,3.03999,3.0211,3.02247,3.03099,2.94938,3.00695
1.5126,1.73383,1.73383,2.36398,2.99906,3.01284,3.01078,3.0161,2.94283,2.98388
1.5171,1.73383,1.73383,2.34302,2.99906,3.01047,3.00741,3.01181,2.94094,2.97724
1.51713,1.73383,1.73383,2.34292,2.99906,3.01045,3.00739,3.01179,2.94093,2.9772
1.53497,1.72689,1.72689,2.28065,2.99906,3.00103,2.99404,2.9948,2.93346,2.95089
1.54395,1.72339,1.72339,2.2493,2.98025,2.99629,2.98732,2.98625,2.9297,2.93764
1.55734,1.71818,1.71818,2.2306,2.9522,2.98922,2.97731,2.9735,2.92409,2.91788
1.5775,1.71032,1.71032,2.20244,2.9522,2.97857,2.96222,2.9543,2.91564,2.88814
1.5797,1.70947,1.70947,2.19701,2.9522,2.9774,2.96057,2.9522,2.91471,2.88489
1.59089,1.70511,1.70511,2.16945,2.9522,2.9715,2.9522,2.94155,2.91003,2.86839
1.5976,1.7025,1.7025,2.1529,2.9522,2.96795,2.94944,2.93516,2.90722,2.85848
1.60207,1.70076,1.70076,2.14188,2.9522,2.96559,2.94761,2.9309,2.90534,2.85675
1.60207,1.70076,1.70076,2.14188,2.9522,2.96559,2.94761,2.9309,2.90534,2.85675
1.62444,1.69205,1.69205,2.08675,2.90534,2.95378,2.93842,2.9096,2.89824,2.84807
1.62891,1.6903,1.6903,2.07573,2.90534,2.95141,2.93658,2.90534,2.89682,2.84633
1.64681,1.68334,1.68334,2.03163,2.90534,2.94196,2.92923,2.90534,2.89114,2.83939
1.65356,1.68071,1.68071,2.015,2.90534,2.9384,2.92646,2.90534,2.889,2.83677
1.66917,1.67463,1.67463,1.99864,2.90534,2.93015,2.92004,2.90534,2.88404,2.83071
1.69154,1.66592,1.66592,1.97521,2.90534,2.91834,2.91085,2.90534,2.87694,2.82204
1.70496,1.66069,1.66069,1.96115,2.90534,2.91125,2.90534,2.90534,2.87268,2.81683
1.71391,1.65721,1.65721,1.95178,2.90534,2.90652,2.90534,2.90534,2.86984,2.81336
1.71615,1.65634,1.65634,1.94944,2.90534,2.90534,2.90534,2.90534,2.86913,2.81249
1.71839,1.65546,1.65546,1.94709,2.90534,2.90603,2.90534,2.90534,2.86842,2.81162
1.73628,1.6485,1.6485,1.92835,2.90534,2.91154,2.90534,2.90534,2.86274,2.82757
1.74303,1.64587,1.64587,1.92127,2.90534,2.91363,2.90534,2.90534,2.8606,2.83359
1.7497,1.64327,1.64327,1.9176,2.90534,2.91568,2.90534,2.90534,2.85848,2.83954
1.75864,1.63979,1.63979,1.91267,2.90534,2.91844,2.90534,2.90534,2.86408,2.84751
1.78101,1.63108,1.63108,1.90034,2.90534,2.92533,2.90534,2.90534,2.87806,2.86745
1.7922,1.62672,1.62672,1.89417,2.90534,2.92877,2.90534,2.90534,2.88506,2.87742
1.80338,1.62237,1.62237,1.888,2.90534,2.93222,2.90534,2.91524,2.89205,2.88739
1.81456,1.61801,1.61801,1.88184,2.90534,2.93566,2.90534,2.92514,2.89905,2.89737
1.82351,1.61453,1.61453,1.87691,2.90534,2.93842,2.91682,2.93306,2.90464,2.90534
