  # 
  # ./GranFilm 2.0
  # ---------------------------------------------------------------------------- 
  # 
  # Angles of incidence   :    45.0000000       0.00000000    
  # Polarisation          :     p 
  # Energy min, max  (eV) :   0.100000001      0.479999989    
  # No of Energy Points   :         1024
  # Materials             :  No.           1 :  vacuum
  # Materials             :  No.           2 :  vo2_T1
  # Materials             :  No.           3 :  vo2_T1
  # Materials             :  No.           4 :  vo2_T1
  # Island radius (nm)        :    8.0000000000000000     
  # Radius ratios             :    1.0000000000000000     
  # Truncation Parameter      :    0.0000000000000000     
  # Coverage                  :   0.50225271740828537     
  # Network                   : Hexagonal
  # Lattice constant (nm)     :    21.500000000000000     
  # Multipole position ratio  :   -0.0000000000000000     
  # # multipoles         :           16
  # Density                   :    2.4980000830270451E-003
  # 
  # -------------------------------------------------------------
  # FORMAT :    column 01      -  energy [eV]
  #                "   02:03   -  dR/R (amplitude, phase(deg))
  #                "   04:05   -  alpha_par (real, imag)
  #                "   06:07   -  alpha_perp 
  #                "   08:09   -  alpha^{(10)}_par 
  #                "   10:11   -  alpha^{(10)}_perp 
  #                "   12:13   -  gamma 
  #                "   14:15   -  beta 
  #                "   16:17   -  delta 
  #                "   18:19   -  tau 
  #                "   20      -  wavelength [nm]
  # -------------------------------------------------------------
  0.10446E+00   -0.21712E-03  0.59633E-01    0.58621E+01  0.70184E+00    0.34839E+01  0.22372E+00   -0.13567E+01 -0.79396E-01   -0.14173E+01 -0.90199E-01    0.97602E+00  0.12184E+00    0.43984E+00  0.22269E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11869E+05
  0.10483E+00   -0.21521E-03  0.59888E-01    0.58686E+01  0.69399E+00    0.34856E+01  0.22096E+00   -0.13572E+01 -0.78405E-01   -0.14179E+01 -0.89083E-01    0.97712E+00  0.12048E+00    0.43999E+00  0.21989E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11827E+05
  0.10520E+00   -0.21281E-03  0.61017E-01    0.59769E+01  0.70074E+00    0.35198E+01  0.21856E+00   -0.13693E+01 -0.77298E-01   -0.14317E+01 -0.88023E-01    0.99526E+00  0.12168E+00    0.44310E+00  0.21635E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11786E+05
  0.10557E+00   -0.20841E-03  0.62312E-01    0.61083E+01  0.70414E+00    0.35601E+01  0.21424E+00   -0.13835E+01 -0.75472E-01   -0.14479E+01 -0.86174E-01    0.10173E+01  0.12229E+00    0.44675E+00  0.21073E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11744E+05
  0.10594E+00   -0.20367E-03  0.63654E-01    0.62488E+01  0.70735E+00    0.36021E+01  0.20961E+00   -0.13983E+01 -0.73537E-01   -0.14648E+01 -0.84199E-01    0.10408E+01  0.12288E+00    0.45052E+00  0.20483E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11703E+05
  0.10631E+00   -0.20183E-03  0.65047E-01    0.63975E+01  0.72192E+00    0.36458E+01  0.20805E+00   -0.14136E+01 -0.72671E-01   -0.14824E+01 -0.83453E-01    0.10656E+01  0.12543E+00    0.45442E+00  0.20191E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11662E+05
  0.10669E+00   -0.20382E-03  0.66319E-01    0.65321E+01  0.74872E+00    0.36849E+01  0.21039E+00   -0.14272E+01 -0.73205E-01   -0.14980E+01 -0.84288E-01    0.10881E+01  0.13010E+00    0.45788E+00  0.20293E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11621E+05
  0.10706E+00   -0.21135E-03  0.66775E-01    0.65572E+01  0.77869E+00    0.36931E+01  0.21773E+00   -0.14301E+01 -0.75695E-01   -0.15013E+01 -0.87205E-01    0.10922E+01  0.13530E+00    0.45862E+00  0.20974E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11581E+05
  0.10743E+00   -0.22014E-03  0.66966E-01    0.65466E+01  0.80722E+00    0.36913E+01  0.22608E+00   -0.14296E+01 -0.78611E-01   -0.15006E+01 -0.90553E-01    0.10904E+01  0.14025E+00    0.45848E+00  0.21783E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11541E+05
  0.10780E+00   -0.22568E-03  0.67129E-01    0.65346E+01  0.82292E+00    0.36886E+01  0.23095E+00   -0.14287E+01 -0.80328E-01   -0.14996E+01 -0.92513E-01    0.10883E+01  0.14297E+00    0.45825E+00  0.22262E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11501E+05
  0.10817E+00   -0.22655E-03  0.67278E-01    0.65238E+01  0.82124E+00    0.36855E+01  0.23094E+00   -0.14276E+01 -0.80349E-01   -0.14983E+01 -0.92518E-01    0.10865E+01  0.14268E+00    0.45798E+00  0.22271E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11462E+05
  0.10854E+00   -0.22343E-03  0.67431E-01    0.65165E+01  0.80538E+00    0.36828E+01  0.22683E+00   -0.14266E+01 -0.78940E-01   -0.14972E+01 -0.90879E-01    0.10853E+01  0.13992E+00    0.45773E+00  0.21885E-01    0.00000E+00 -0.00000E+00    0.00000E+00 -0.00000E+00    0.11423E+05
